testing different downsample sizes:
downsample,survival,pop_size,num_generations_before_success,total_time,time_per_generation
32,0.2,100,85,880.0220079421997,10.353200093437644
16,0.2,100,72,1312.3106942176819,18.226537419690025
8,0.2,100,45,2684.366473197937,59.65258829328749
4,0.2,100,11,2831.7637248039246,257.43306589126587

testing different survival rates:
downsample,survival,pop_size,num_generations_before_success,total_time,time_per_generation
8,0.05,100,94,5141.129001617432,54.69286171933438
8,0.1,100,17,1094.4774518013,64.38102657654706
8,0.15000000000000002,100,31,1767.0956802368164,57.003086459252145
8,0.2,100,42,2449.798940181732,58.328546194803145
8,0.25,100,23,1446.2502710819244,62.88044656877933
8,0.3,100,30,1864.4595193862915,62.14865064620972

testing different population sizes:
downsample,survival,pop_size,num_generations_before_success,total_time,time_per_generation
8,0.2,50,60,1670.9350941181183,27.848918235301973
8,0.2,100,7,465.58556604385376,66.51222372055054
8,0.2,200,54,6602.0864934921265,122.26086099059494
8,0.2,400,17,4651.356085777283,273.60918151631074

testing different survival rates:
downsample,survival,pop_size,num_generations_before_success,total_time,time_per_generation
8,0.05,100,25,1503.7359211444855,60.14943684577942
8,0.060000000000000005,100,16,1046.9381890296936,65.43363681435585
8,0.05,100,24,1680.2306773662567,70.00961155692737
8,0.060000000000000005,100,9,646.0699799060822,71.78555332289801
8,0.07,100,70,3559.738375902176,50.85340537003108
8,0.08,100,32,1823.535024881363,56.98546952754259
8,0.09,100,79,4113.605134725571,52.07095107247558
8,0.09999999999999999,100,33,1940.046659231186,58.78929270397533
8,0.10999999999999999,100,16,934.6033508777618,58.412709429860115
8,0.11999999999999998,100,24,1402.1674392223358,58.42364330093066
8,0.12999999999999998,100,67,3885.3001987934113,57.98955520587181
8,0.13999999999999999,100,39,2132.5658996105194,54.68117691309024
8,0.15,100,90,4941.859122991562,54.90954581101735
8,0.16,100,75,4310.711884975433,57.476158466339115
8,0.17,100,58,3357.2710812091827,57.883984158779015
8,0.18000000000000002,100,16,1051.4028675556183,65.71267922222614
8,0.19000000000000003,100,76,4311.920006275177,56.73578955625233
8,0.20000000000000004,100,35,2001.4748063087463,57.18499446596418
8,0.21000000000000005,100,41,2370.851385116577,57.82564353942871
8,0.22000000000000006,100,20,1265.232908964157,63.26164544820786
8,0.23000000000000007,100,10,653.0405721664429,65.30405721664428
8,0.24000000000000007,100,28,1690.8910913467407,60.38896754809788
8,0.25000000000000006,100,17,1049.527748823166,61.7369264013627
